osm_id,osm_type,name,amenity,emergency,social_facility,emergency_social_facility,phone,website,operator,lat,lon,facility_type
7226727336,node,"Rural Hospital, Chandoli",hospital,,,,,,,18.845824,73.878716,Hospital
7226727348,node,"Rural Hospital, Shikrapur",hospital,,,,,,,18.6900735,74.1397732,Hospital
7226727370,node,Sutika Seva Mandir,hospital,,,,,,,18.513913,73.846551,Hospital
7226727373,node,PCMC-Akurdi Hospital,hospital,,,,,,,18.649885,73.781999,Hospital
7226727379,node,"Rural Hospital, Alandi",hospital,,,,,,,18.675174,73.89796,Hospital
7226727387,node,PMC Sangamnerkar Hospital (N. G. O.),hospital,,,,,,,18.561134,73.921412,Hospital
7226727390,node,Chris Rock Edward Paul Hospital,hospital,,,,,,,18.5770661,73.8990724,Hospital
7226727415,node,Rural Hospital Kale Colony,hospital,,,,,,,18.6837237,73.5101049,Hospital
7226727431,node,"Rural Hospital, Chakan",hospital,,,,,,,18.755879,73.859711,Hospital
7226727437,node,"PCMC-Talera Hospital, Chinchwad",hospital,yes,,,,,,18.626544,73.784354,Hospital
7226727441,node,Sasoon Hospital,hospital,,,,,,,18.521872,73.873118,Hospital
7226727467,node,PCMC-Bhosari Hospital,hospital,,,,,,,18.620365,73.847955,Hospital
7466308062,node,Dr Bhore's Mother & Child Clinic,hospital,,,,,,,18.5977182,73.9028326,Hospital
7466371303,node,CT Nursing Home,hospital,yes,,,,,,18.596865,73.9001514,Hospital
7614911547,node,"FPA , Kothrud",hospital,,,,,,,18.506552,73.7886402,Hospital
7621410003,node,Colony Nursing Home,hospital,,,,,,,18.5030769,73.8446917,Hospital
7632134931,node,Khed Police Station,police,,,,,,Police,18.8499104,73.8867176,Police Station
7649461712,node,Akshara Maternity Hospital,hospital,,,,,,,18.4857137,73.9545579,Hospital
7649461713,node,Sathe Hospital,hospital,,,,,,,18.6040867,73.9153855,Hospital
7649461714,node,Gupte Hospital Extension Clinic,hospital,,,,,,,18.557773,73.793639,Hospital
7649461715,node,Shree Ganesh Hospital,hospital,,,,,,,18.509568,73.69005,Hospital
7649461716,node,Hinjawadi Hospital,hospital,,,,,,,18.5950742,73.7350569,Hospital
7649461717,node,Gauri Hospital,hospital,,,,,,,18.624263,73.85793,Hospital
7649461718,node,Mahesh Smruti Multispeciality Hospital,hospital,,,,,,,18.4968106,73.9615264,Hospital
7649461719,node,Lotus Hospital,hospital,,,,,,,18.515216,73.964247,Hospital
7649461721,node,Bora Hospital,hospital,,,,,,,18.5828476,73.8122787,Hospital
7649461724,node,Shivam Hospital,hospital,,,,,,,18.500617,73.9364994,Hospital
7649461725,node,ESIC Hospital,hospital,,,,,,,18.6445126,73.7958922,Hospital
7649461728,node,Saijyoti Hospital & ICU,hospital,,,,,,,18.6138321,73.7632889,Hospital
7649461729,node,Kamal Hospital,hospital,,,,,,,18.494483,73.902522,Hospital
7649461730,node,Manas Hospital,hospital,,,,,,,18.449772,73.837835,Hospital
